insert into c values (74,7374368,12663,18258,551);
insert into c values (61,1176678,6544,15987,4376);
insert into c values (19,9110015,19952,2605,2394);
insert into c values (53,8380188,4770,14393,4918);
insert into c values (37,2784781,15461,10568,531);
insert into c values (87,8223453,12605,15401,2660);
insert into c values (81,7797656,8768,5966,4664);
insert into c values (94,2304200,11597,14129,1106);
insert into c values (67,6487815,9069,10277,870);
insert into c values (44,3741948,16237,15058,2733);
insert into c values (11,7063170,17833,15259,3685);
insert into c values (65,8741219,11983,16919,2574);
insert into c values (0,5757077,14137,3733,2361);
insert into c values (25,3993547,3867,9625,2087);
insert into c values (46,5886832,11405,7956,727);
insert into c values (70,2670452,4640,15295,1252);
insert into c values (96,4768628,14237,11136,957);
insert into c values (3,5980470,4181,15,4914);
insert into c values (74,1183815,13586,18945,1444);
insert into c values (54,7960250,8538,16142,989);
insert into c values (80,470102,7194,14934,3338);
insert into c values (35,2028665,4523,4851,4787);
insert into c values (62,5610253,13808,15109,3724);
insert into c values (73,193201,17144,19133,2390);
insert into c values (65,35139,8496,9541,942);
insert into c values (11,2794146,13194,18856,2634);
insert into c values (17,7980546,6361,10496,1807);
insert into c values (46,6092315,17422,5535,3416);
insert into c values (66,2947043,610,18822,2310);
insert into c values (64,2758325,18258,18916,302);
insert into c values (31,1452070,2714,15215,1968);
insert into c values (36,7187048,15035,11297,2285);
insert into c values (91,6728766,5343,16175,3887);
insert into c values (7,7265477,10528,5118,2603);
insert into c values (77,5758646,5853,19652,4102);
insert into c values (76,3636875,10291,2617,1935);
insert into c values (85,2009770,5558,6379,4073);
insert into c values (76,5200182,6468,7355,542);
insert into c values (46,4234972,8601,322,1971);
insert into c values (78,1592165,15136,2700,4895);
insert into c values (57,5541835,1474,18689,110);
insert into c values (6,4536066,3326,5237,3363);
insert into c values (9,6451438,9147,16407,2065);
insert into c values (28,8213845,12998,12964,2093);
insert into c values (0,7279743,8847,6838,2260);
insert into c values (65,9338282,5537,1354,2222);
insert into c values (4,5493844,6549,11145,3967);
insert into c values (71,4110918,9166,14051,1947);
insert into c values (31,2382995,14188,19561,4876);
insert into c values (29,2805361,19112,2688,4278);
insert into c values (14,2084602,15706,15423,3789);
insert into c values (23,4135885,10446,12349,1548);
insert into c values (54,1225012,2175,7137,2877);
insert into c values (51,5482382,12777,7487,435);
insert into c values (92,1796980,11765,5689,2764);
insert into c values (25,9143607,4913,3883,1812);
insert into c values (61,7864000,18440,16834,4233);
insert into c values (15,5385688,11492,7841,4370);
insert into c values (20,9226014,19204,385,2913);
insert into c values (56,7903113,17871,16489,3032);
insert into c values (71,953212,6271,7462,1471);
insert into c values (10,3182741,6400,10297,1215);
insert into c values (83,1818864,11054,2237,4648);
insert into c values (72,6608746,13412,397,3781);
